,Date,W_BUD_Close,W_Close,LW_BUD_Close,DLW_BUD_Close,LW_Close,DLW_Close,NBP_stopy,LAG_DLW_BUD_Close_1,LAG_DLW_Close_1,"2DLW_BUD_Closer","2DLW_Close",WIG_NCHROM,LWIG_NCHROM,DLWIG_NCHROM,DNBP_stopy
"1-1",2007-01-07,7793.6700000000001,49560.300000000003,8.9610671447405412,#N/A,10.810945388993524,#N/A,4,#N/A,#N/A,#N/A,#N/A,4956.0299999999997,8.5083602959994771,#N/A,#N/A
"2-1",2007-01-14,8092.1599999999999,51020.900000000001,8.9986509707070894,0.03758382596654819,10.839990631681339,0.029045242687814721,4,#N/A,#N/A,0.001412543974283782,0.00084362612279405454,5102.0900000000001,8.5374055386872918,0.029045242687814721,0
"3-1",2007-01-21,8760.3600000000006,54048.199999999997,9.0779922789764349,0.07934130826934549,10.897631520015127,0.057640888333787998,4,0.03758382596654819,0.029045242687814721,0.0062950431978913111,0.0033224720079082174,5404.8199999999997,8.5950464270210816,0.057640888333789775,0
"4-1",2007-01-28,9394.6200000000008,53488,9.1478924639832613,0.069900185006826376,10.88721260865988,-0.010418911355246863,4,0.07934130826934549,0.057640888333787998,0.0048860358639885547,0.00010855371382849202,5348.8000000000002,8.5846275156658347,-0.010418911355246863,0
"5-1",2007-02-04,9738.7299999999996,55314,9.18386599799131,0.035973534008048702,10.920781320026649,0.033568711366768866,4,0.069900185006826376,-0.010418911355246863,0.0012940951490282365,0.0011268583828254373,5531.3999999999996,8.6181962270326036,0.033568711366768866,0
"6-1",2007-02-11,9246.6299999999992,53826.900000000001,9.1320144397999155,-0.051851558191394531,10.893528621191527,-0.027252698835122047,4,0.035973534008048702,0.033568711366768866,0.0026885840868755735,0.00074270959379786259,5382.6899999999996,8.5909435281974815,-0.027252698835122047,0
"7-1",2007-02-18,9539.3799999999992,53834.900000000001,9.1631837728126015,0.031169333012686096,10.893677234720462,0.00014861352893547064,4,-0.051851558191394531,-0.027252698835122047,0.00097152732045572329,2.208598098265397e-08,5383.4899999999998,8.5910921417264152,0.00014861352893369428,0
"8-1",2007-02-25,10022.5,55702.5,9.212587844516662,0.04940407170406047,10.927780308211561,0.034103073491099423,4,0.031169333012686096,0.00014861352893547064,0.0024407623009399483,0.0011630196215393282,5570.25,8.6251952152175146,0.034103073491099423,0
"9-1",2007-03-04,9210.9300000000003,51917.300000000003,9.128146101350195,-0.08444174316646702,10.8574073469441,-0.070372961267461065,4,0.04940407170406047,0.034103073491099423,0.0071304079889915797,0.0049523536775515752,5191.7299999999996,8.5548222539500554,-0.070372961267459289,0
"10-1",2007-03-11,9509.4099999999999,52910.800000000003,9.160037113656939,0.03189101230674396,10.876362755798992,0.018955408854891331,4,-0.08444174316646702,-0.070372961267461065,0.0010170366659488948,0.00035930752485609268,5291.0799999999999,8.5737776628049449,0.018955408854889555,0
