Date,WIG_BANKI_Open,WIG_BANKI_High,WIG_BANKI_Low,WIG_BANKI_Close,WIG_BANKI_Volume,WIG_PALIWA_Open,WIG_PALIWA_High,WIG_PALIWA_Low,WIG_PALIWA_Close,WIG_PALIWA_Volume
6/10/2007,8996.33,9072.42,8583.39,8583.39,13206848,3495.99,3594.9,3482.17,3594.9,18743145
6/17/2007,8735.24,8913.94,8600.75,8913.94,17764765,3556.43,3661.37,3479.86,3661.37,28684688
6/24/2007,8928.19,8928.19,8730.04,8886.16,9584079,3677.14,3688.23,3523,3668.66,13458801
7/1/2007,8780.69,8890.01,8685.35,8783.89,16653746,3732.1,3879.45,3727.3,3761.01,30311516
7/8/2007,8757.18,9075.36,8757.18,9075.36,13116522,3731.94,4020.67,3729.94,3957.84,23161531
7/15/2007,8958.17,8958.17,8697.88,8766.38,15139882,4045.35,4077.51,3917.71,4060.85,27555748
7/22/2007,8688.03,8939.13,8557.6,8837.05,21136856,4121.46,4121.99,3893.28,3893.28,28395872
7/29/2007,8907.52,9072.99,8666,8666,15853577,3890.43,3967.06,3781.67,3819.05,31616358
8/5/2007,8660.25,8949.92,8507.43,8507.43,14655047,3789.94,3843.41,3717.11,3717.11,17037960
8/12/2007,8385.37,8503.47,8015.91,8015.91,26329832,3673.27,3792.55,3575.84,3592.94,16022226
8/19/2007,8162.45,8241.65,7695.56,7883.2,30091224,3627.86,3694.71,3473.02,3492.92,19785695
8/26/2007,7926.7,8346.13,7793.83,8271.21,25624031,3569.47,3872.97,3525.45,3872.97,21313180
9/2/2007,8314.05,8366.5,8077,8363.12,15033891,3928.97,3928.97,3710.87,3828.8,28592518
9/9/2007,8365.34,8393.69,8048.65,8085.15,11148085,3850.21,3899.81,3758.85,3785.77,21709377
9/16/2007,7982.96,8314.61,7894.32,8259.01,11559340,3728.37,3860.34,3680.28,3794.6,13646251
9/23/2007,8215.08,8795.65,8215.08,8716.5,16055659,3736.33,3946.52,3736.33,3926.93,22328244
9/30/2007,8678.15,8678.15,8412.16,8426.28,13736866,3924.06,3924.06,3734.17,3734.17,20126275
10/7/2007,8452.58,8667.86,8377.36,8667.86,21896485,3753.43,3848.34,3683.14,3801.2,16234188
10/14/2007,8710.79,9058.32,8684.39,8985.31,19693967,3799.6,3876.57,3782.69,3876.57,22655430
10/21/2007,9049.45,9049.45,8625.34,8718.08,16500492,3905.35,3932.59,3835.79,3864.68,19392936
10/28/2007,8589.44,8931.27,8589.22,8848.49,13405073,3817.73,3959.68,3795.22,3911.63,21109680
11/4/2007,8932.86,8949.1,8759.8,8759.8,7920089,3988.41,3993.4,3854.63,3866.04,15644586
11/11/2007,8698.05,8814.73,8372.91,8497.62,19020452,3818.61,3825.84,3497.86,3529.53,27925601
11/18/2007,8391.67,8501.14,7983.15,8137.03,25704254,3544.59,3653.98,3487.29,3511.32,23464353
11/25/2007,8150.62,8269.58,8076.51,8245.89,20696187,3529.83,3610.96,3486.07,3575.22,20260035
12/2/2007,8185.12,8345.17,7998.34,8111.72,22006196,3582.47,3631.59,3462.43,3631.59,24360302
12/9/2007,8118.71,8452.01,8049.8,8421.33,15553710,3571.46,3804.94,3541.49,3731.11,29137403
12/16/2007,8559.65,8559.65,8045.79,8110.33,16557414,3792.36,3821.21,3652.14,3659.42,31051941
12/23/2007,8033.03,8086.26,7856.07,8019.77,26534340,3560.52,3643.24,3476.71,3590.09,37462185
12/30/2007,8058.98,8165.76,7949.93,7949.93,3174261,3600.75,3613.63,3523.18,3548.43,2654977
1/6/2008,7898.42,7898.42,7667.71,7688,9495458,3587.09,3615.57,3550.59,3577.44,14412024
1/13/2008,7581.17,7581.17,7015.08,7015.08,26368043,3590.33,3636.41,3477.56,3477.56,28479573
1/20/2008,6887.25,7014.58,6545.82,6683.42,40937657,3366.46,3417.03,3030.74,3086.77,43929140
1/27/2008,6554.2,6707.52,6201.59,6679.35,34818240,2994.55,3039.72,2884.85,2942.61,52197004
2/3/2008,6550.12,6749.91,6512.31,6749.91,26410891,2873.89,2919.51,2838.86,2895.19,33630063
2/10/2008,6844.58,6844.58,6202.92,6272.59,19366467,2986.45,3014.99,2801.98,2827.28,37551171
2/17/2008,6383.98,6836.55,6383.98,6655.5,24832054,2859.79,2892.61,2795.59,2806.73,43998989
2/24/2008,6731.9,6880.66,6541.89,6541.89,23460771,2846.86,2927.52,2809.07,2915.53,32056125
3/2/2008,6610.73,6610.73,6190.29,6190.29,15614057,2955.44,2955.44,2807.8,2807.8,34507339
3/9/2008,6047.05,6194.69,5884.07,5925.25,17347274,2712.3,2776.95,2683.66,2711.57,27561355
3/16/2008,6039.24,6345.46,6039.24,6088.13,28364184,2760.34,2855.64,2719.98,2719.98,36101583
3/23/2008,5912.29,6328.41,5837.59,6254.46,23517111,2641.25,2748.72,2598.92,2667.66,21004745
3/30/2008,6489.98,6673.26,6449.7,6624.52,19999950,2790.88,2874.68,2789.21,2852.21,17486154
4/6/2008,6515.55,6841.92,6515.55,6762.32,23035366,2809.11,2987.4,2809.11,2987.4,25120332
4/13/2008,6876.41,6876.41,6452.82,6452.82,16860818,3054.54,3054.54,2832.73,2832.73,28522097
4/20/2008,6471.66,6673.82,6419.57,6673.82,13925414,2845.49,2900.99,2813.89,2900.99,24455226
4/27/2008,6652.73,6652.73,6363.27,6519.39,14984097,2895.6,2895.6,2794.94,2846.29,18815179
5/4/2008,6594.47,6597.32,6417.56,6527.12,7392868,2865.7,2865.7,2772.44,2850.98,12053308
5/11/2008,6668.06,6951.37,6668.06,6837.9,19667802,2862.89,2883.28,2838.61,2850.19,21426780
5/18/2008,6902.45,6972.74,6878.78,6914.14,19854687,2878.46,2981.88,2876.25,2925.66,44249700
5/25/2008,6873.45,6873.45,6633.16,6693.36,10734562,2920.94,2920.94,2798.38,2798.38,12736570
6/1/2008,6709.08,6909.88,6682.02,6905.94,26670495,2811.78,2883.91,2759.74,2759.74,22929081
6/8/2008,6826.94,6890.66,6685.58,6685.58,11843859,2779.98,2804.84,2731.65,2731.65,21705816
6/15/2008,6532.2,6553.2,6184.8,6302.62,16104203,2663.52,2690.49,2519.65,2583.62,25080052
6/22/2008,6319,6405.74,6207.57,6236.49,28183972,2582.58,2582.58,2445.65,2447.94,28618622
6/29/2008,6174.28,6176.16,5987.8,5987.8,13556158,2408.27,2408.27,2302.57,2302.57,22885653
7/6/2008,5954.17,6017.93,5761.55,5761.55,19863601,2293.01,2320.08,2225.56,2256.7,24924962
7/13/2008,5752.22,5947.55,5670.23,5787.02,19907889,2254.8,2476.57,2254.8,2371.17,39224733
7/20/2008,5767.84,6072.37,5574.74,6051.87,22458535,2345.96,2444.89,2331.91,2435.22,34922984
7/27/2008,6043.49,6513.39,6043.49,6513.39,34923956,2490.1,2541.62,2431.65,2464.98,29818762
8/3/2008,6541.4,6896.94,6496.15,6753.63,27267317,2460.04,2633.75,2429.01,2569.89,36407097
8/10/2008,6696.97,6799.56,6464.74,6496.48,23056818,2566.81,2613.58,2397.03,2397.03,41506588
8/17/2008,6552.35,6673.69,6443.41,6457.56,14774593,2411.32,2564.6,2411.32,2485.63,21665901
8/24/2008,6486.63,6571.93,6268.75,6413.47,16209542,2485.08,2485.08,2381.74,2457.21,20634867
8/31/2008,6430.37,6512.2,6175.4,6501.93,15820377,2457.36,2457.36,2361.03,2366.69,19486773
9/7/2008,6472.96,6750.66,6242.64,6242.64,19894660,2369.62,2369.62,2264.91,2272.98,31072649
9/14/2008,6486.09,6500.5,6120.46,6120.46,14902316,2292.07,2318.23,2264.98,2271.09,31419874
9/21/2008,5926.1,6149.62,5629.8,6134.81,32434503,2252.01,2353.73,2135.26,2353.73,62625694
9/28/2008,6129.24,6188.16,5904.3,6188.16,24860190,2337.85,2421.33,2292.23,2394.64,31365800
10/5/2008,6001.67,6123.27,5787.69,5968.03,33580691,2358.11,2416.64,2321.93,2370.04,29949924
10/12/2008,5623.1,5641.29,4463.27,4945.18,55372266,2304.42,2317.82,1946.67,2035.2,50948729
10/19/2008,5034.53,5210.94,4090.14,4175.56,56431498,2117.24,2185.58,1912.17,1912.17,52711091
10/26/2008,4258.01,4258.01,3439.3,3513.78,59516192,2013.65,2035.87,1692.54,1738.12,53294171
11/2/2008,3373.67,4243.77,3373.67,4243.77,39969276,1685.44,2020.06,1685.44,2017.55,34267447
11/9/2008,4292.23,4506.96,4137.42,4227.82,37665550,2038.82,2094.1,1936.56,2026.55,41582510
11/16/2008,4374.07,4374.07,3845.65,4014.57,26692944,2102,2113.19,1897.16,1900.83,38691226
11/23/2008,3951.79,3951.79,3617.96,3715.53,31003360,1880.33,1880.33,1739.69,1796.14,33449642
11/30/2008,3845.09,4212.61,3845.09,4050.37,33476284,1829.9,1995.72,1829.9,1896.75,51957680
12/7/2008,3955.93,4169.19,3944.43,4099.53,24931615,1862.12,1948.99,1862.12,1894.62,28269809
12/14/2008,4278.77,4502.88,4278.77,4311.01,32613978,1943.85,1946.15,1805.29,1805.29,29038887
12/21/2008,4316.1,4588.86,4313.33,4324.79,27748316,1849.35,1919.04,1849.35,1919.04,34850691
12/28/2008,4247.75,4298.82,4247.75,4265.1,5316372,1888.49,1888.49,1848.75,1848.75,6720743
1/4/2009,4357.6,4438.49,4350.88,4390.9,7173164,1865.91,1897.16,1863.83,1889.46,13465039
1/11/2009,4579.2,4691.71,4317.29,4317.29,30175667,1958.71,2040.69,1947.37,1947.37,63229024
1/18/2009,4232.77,4232.77,3782.62,3835.59,35190514,1942.23,1951.26,1857.92,1867.78,28519667
1/25/2009,3841.32,3841.32,3397.67,3508.95,43535070,1836.64,1850.21,1690.45,1793.92,25739559
2/1/2009,3557.24,3658.84,3483.71,3490.86,35407116,1769.4,1815.17,1707.37,1727.45,21291829
2/8/2009,3357.69,3357.69,3049.84,3246.38,49804511,1675.56,1707.32,1585.34,1707.32,71933119
